Terrain,DeviceType,UseCase,RIS_Used,Satellite_Link,SignalStrength_dBm,Throughput_Mbps,Latency_ms,Energy_Watts,Coverage_km
Rural,IoT_Sensor,Telemedicine,0,0,-83.19,4.472,17.0,1.187,3.71
Urban,IoT_Sensor,Agriculture,0,0,-75.72,0.5,39.04,1.1,1.68
Rural,User_Equipment,Smart_City,0,0,-84.46,2.477,36.26,2.505,6.01
Rural,IoT_Sensor,Agriculture,1,0,-79.17,7.618,42.19,1.603,0.87
Rural,IoT_Sensor,Agriculture,1,0,-80.04,4.719,18.41,1.933,4.37
Rural,UAV_Node,Disaster_Response,1,1,-79.64,16.315,97.96,4.338,87.71
Rural,IoT_Sensor,Disaster_Response,0,0,-94.41,9.309,4.83,1.613,5.38
Rural,User_Equipment,Agriculture,0,0,-87.74,6.332,34.77,2.319,8.9
Urban,IoT_Sensor,Agriculture,0,0,-69.54,0.5,8.32,1.879,7.05
Urban,IoT_Sensor,Agriculture,1,1,-63.2,0.5,102.17,1.021,132.18
Urban,IoT_Sensor,Disaster_Response,0,0,-75.14,3.055,9.03,2.05,5.05
Urban,IoT_Sensor,Disaster_Response,1,0,-57.67,0.5,14.11,1.225,4.91
Rural,IoT_Sensor,Telemedicine,0,1,-89.33,5.352,91.63,2.084,90.74
Urban,IoT_Sensor,Telemedicine,0,1,-65.15,1.044,93.92,1.725,97.0
Rural,IoT_Sensor,Agriculture,1,1,-76.86,9.472,94.61,1.448,71.34
Mountain,IoT_Sensor,Smart_City,0,1,-98.23,19.415,109.52,1.732,79.51
Urban,IoT_Sensor,Smart_City,1,0,-55.12,0.5,28.33,1.208,5.09
Urban,IoT_Sensor,Disaster_Response,1,1,-69.97,11.402,88.95,1.657,125.92
Rural,IoT_Sensor,Disaster_Response,0,0,-80.4,0.5,22.21,1.533,1.65
Urban,User_Equipment,Disaster_Response,0,1,-65.0,3.558,112.18,2.393,92.69
Urban,User_Equipment,Agriculture,0,1,-73.35,2.983,94.87,2.51,96.97
Urban,IoT_Sensor,Smart_City,1,1,-57.04,0.5,92.82,1.334,72.08
Urban,User_Equipment,Telemedicine,0,0,-71.25,0.5,17.69,1.871,4.35
Mountain,User_Equipment,Agriculture,1,0,-87.56,2.897,46.8,2.495,0.1
Mountain,IoT_Sensor,Telemedicine,1,0,-87.7,13.892,36.94,1.284,0.1
Rural,UAV_Node,Telemedicine,1,1,-79.67,7.689,89.69,3.608,90.96
Mountain,UAV_Node,Agriculture,0,1,-90.95,3.71,114.84,3.568,74.21
Mountain,IoT_Sensor,Telemedicine,1,0,-85.03,2.904,23.98,0.82,0.1
Urban,IoT_Sensor,Smart_City,1,0,-72.74,9.935,26.81,1.092,7.39
Mountain,User_Equipment,Telemedicine,0,0,-88.48,1.093,39.09,2.309,0.1
Rural,User_Equipment,Smart_City,0,1,-93.31,19.325,96.92,3.472,85.43
Mountain,IoT_Sensor,Smart_City,1,1,-83.84,12.24,106.61,1.387,96.39
Mountain,IoT_Sensor,Smart_City,0,0,-89.37,0.5,26.13,1.563,0.1
Urban,IoT_Sensor,Disaster_Response,1,0,-69.45,0.5,25.35,1.43,3.66
Urban,IoT_Sensor,Telemedicine,0,1,-72.05,7.206,112.29,1.683,119.92
Urban,User_Equipment,Agriculture,0,1,-75.53,1.985,93.63,2.516,72.2
Urban,IoT_Sensor,Agriculture,1,0,-65.07,0.5,24.58,0.951,3.91
Mountain,IoT_Sensor,Telemedicine,0,0,-96.54,9.07,14.13,2.117,0.1
Mountain,User_Equipment,Disaster_Response,0,0,-91.1,8.06,29.15,3.203,0.1
Urban,IoT_Sensor,Disaster_Response,0,0,-63.45,0.5,19.69,1.005,6.99
Rural,IoT_Sensor,Smart_City,0,0,-78.02,6.253,10.9,1.318,6.29
Urban,User_Equipment,Telemedicine,0,0,-72.81,0.5,10.63,2.426,0.26
Urban,UAV_Node,Telemedicine,0,1,-71.05,0.5,88.32,3.721,104.86
Urban,User_Equipment,Agriculture,1,0,-72.42,2.141,22.92,2.495,5.59
Urban,User_Equipment,Telemedicine,0,1,-74.03,3.316,98.13,2.348,96.07
Mountain,IoT_Sensor,Disaster_Response,1,0,-84.18,5.269,12.62,2.055,0.1
Urban,IoT_Sensor,Telemedicine,0,0,-61.92,0.5,1.0,1.867,5.35
Rural,User_Equipment,Agriculture,1,0,-85.17,12.305,13.93,2.61,3.67
Rural,IoT_Sensor,Smart_City,0,0,-87.96,3.738,24.58,1.883,5.4
Urban,IoT_Sensor,Agriculture,1,1,-64.13,5.23,72.52,1.736,98.72
Mountain,IoT_Sensor,Agriculture,0,1,-93.6,8.007,110.0,1.491,100.73
Mountain,IoT_Sensor,Smart_City,0,0,-99.05,8.372,29.74,1.423,0.1
Urban,IoT_Sensor,Agriculture,0,0,-67.88,0.5,33.88,1.533,2.13
Rural,IoT_Sensor,Agriculture,0,1,-87.37,13.136,96.15,2.021,102.86
Urban,IoT_Sensor,Telemedicine,0,0,-70.07,0.5,23.83,1.552,6.17
Urban,IoT_Sensor,Telemedicine,0,0,-67.27,0.5,21.41,1.037,6.03
Urban,UAV_Node,Smart_City,1,1,-63.97,0.5,73.69,3.569,111.65
Rural,User_Equipment,Telemedicine,0,0,-87.18,0.5,27.68,2.488,5.65
Rural,User_Equipment,Telemedicine,0,0,-85.55,0.5,22.15,2.487,3.93
Urban,User_Equipment,Agriculture,1,0,-64.44,0.5,25.08,2.902,6.68
Urban,IoT_Sensor,Disaster_Response,1,1,-65.85,0.5,139.26,0.894,120.03
Mountain,IoT_Sensor,Telemedicine,0,0,-96.29,3.538,14.16,1.722,0.1
Urban,User_Equipment,Disaster_Response,0,0,-62.01,0.5,37.25,2.957,3.07
Urban,User_Equipment,Telemedicine,0,1,-67.2,0.5,97.13,3.191,108.59
Rural,User_Equipment,Telemedicine,1,0,-80.48,8.585,22.87,2.35,6.89
Mountain,IoT_Sensor,Smart_City,1,1,-85.52,12.149,114.54,1.69,78.88
Urban,IoT_Sensor,Smart_City,0,0,-71.67,0.5,15.76,1.681,7.14
Rural,IoT_Sensor,Smart_City,1,1,-73.13,6.834,94.3,1.495,133.38
Rural,IoT_Sensor,Disaster_Response,1,0,-77.15,5.218,23.3,1.375,5.7
Urban,User_Equipment,Agriculture,0,0,-70.54,3.636,4.83,2.704,4.75
Rural,User_Equipment,Telemedicine,1,0,-76.76,13.083,27.51,1.802,6.69
Urban,IoT_Sensor,Telemedicine,0,0,-77.85,0.5,15.84,1.715,4.77
Rural,UAV_Node,Telemedicine,0,1,-90.63,14.466,83.7,4.327,71.86
Rural,User_Equipment,Disaster_Response,0,1,-90.97,14.542,95.5,2.724,111.72
Rural,IoT_Sensor,Smart_City,0,0,-84.29,0.5,32.57,2.124,6.75
Urban,IoT_Sensor,Agriculture,0,0,-61.34,0.5,14.65,1.308,3.66
Mountain,IoT_Sensor,Disaster_Response,1,1,-77.84,19.611,118.58,1.571,94.37
Urban,IoT_Sensor,Smart_City,0,1,-66.81,0.5,92.69,2.107,120.19
Urban,IoT_Sensor,Disaster_Response,0,0,-67.5,0.5,27.58,1.26,0.1
Urban,IoT_Sensor,Agriculture,0,0,-79.01,4.591,26.86,1.427,5.4
Rural,IoT_Sensor,Smart_City,1,0,-81.71,10.214,38.49,1.46,6.22
Rural,IoT_Sensor,Disaster_Response,0,0,-88.94,7.227,18.24,1.897,5.52
Urban,UAV_Node,Agriculture,0,0,-73.1,0.5,21.69,4.072,1.1
Rural,IoT_Sensor,Telemedicine,0,0,-85.84,4.874,20.98,1.21,4.3
Urban,User_Equipment,Agriculture,0,0,-72.36,0.5,32.96,2.35,0.56
Rural,IoT_Sensor,Telemedicine,1,1,-88.9,22.685,92.81,1.571,137.11
Urban,UAV_Node,Disaster_Response,1,0,-60.26,3.978,22.45,3.856,2.83
Rural,IoT_Sensor,Smart_City,0,0,-90.36,4.035,18.05,1.708,7.51
Urban,IoT_Sensor,Smart_City,1,0,-62.8,0.5,19.36,1.435,6.89
Mountain,UAV_Node,Disaster_Response,1,0,-78.63,0.5,30.92,3.277,0.1
Urban,UAV_Node,Smart_City,1,0,-68.6,4.87,17.52,4.217,2.73
Urban,User_Equipment,Smart_City,0,0,-82.65,4.186,18.84,2.659,5.7
Urban,IoT_Sensor,Telemedicine,0,0,-71.43,0.5,22.15,1.925,3.31
Mountain,IoT_Sensor,Disaster_Response,0,0,-89.5,10.369,50.78,1.841,0.1
Mountain,User_Equipment,Agriculture,1,0,-79.21,5.934,44.85,2.749,0.1
Urban,UAV_Node,Telemedicine,0,0,-76.15,0.897,23.69,4.158,1.44
Rural,User_Equipment,Disaster_Response,0,1,-82.52,1.16,95.44,2.927,130.56
Mountain,User_Equipment,Telemedicine,0,0,-97.33,8.546,26.11,2.828,0.1
Rural,IoT_Sensor,Agriculture,1,1,-79.53,11.893,109.55,1.508,115.22
Rural,User_Equipment,Agriculture,0,0,-71.78,0.5,28.76,3.192,3.89
Urban,IoT_Sensor,Disaster_Response,1,0,-71.51,1.91,34.73,1.605,6.39
Urban,IoT_Sensor,Agriculture,1,0,-62.73,0.5,13.96,1.482,7.35
Mountain,IoT_Sensor,Telemedicine,0,0,-92.66,10.461,32.7,1.326,0.1
Mountain,User_Equipment,Agriculture,1,1,-83.57,12.602,98.61,2.166,83.01
Rural,IoT_Sensor,Telemedicine,0,1,-84.51,0.5,96.08,1.598,84.55
Urban,IoT_Sensor,Telemedicine,1,1,-62.46,12.978,109.97,1.603,107.58
Urban,User_Equipment,Agriculture,0,0,-71.96,2.886,15.34,2.373,5.45
Rural,IoT_Sensor,Disaster_Response,1,0,-77.65,0.5,26.4,1.352,6.1
Mountain,User_Equipment,Smart_City,1,0,-90.72,16.807,33.09,3.113,0.1
Mountain,IoT_Sensor,Agriculture,1,0,-85.89,8.431,38.24,1.677,0.1
Rural,IoT_Sensor,Telemedicine,1,0,-80.85,9.741,8.52,1.153,3.48
Rural,User_Equipment,Telemedicine,0,0,-83.11,3.028,20.85,2.527,3.24
Urban,IoT_Sensor,Agriculture,1,0,-64.15,0.5,1.0,1.069,5.2
Urban,IoT_Sensor,Disaster_Response,1,0,-58.37,0.5,18.13,1.194,5.96
Mountain,IoT_Sensor,Disaster_Response,0,1,-95.26,9.176,98.7,1.559,64.42
Rural,IoT_Sensor,Telemedicine,0,1,-93.87,7.352,112.06,1.504,110.31
Urban,UAV_Node,Telemedicine,1,1,-57.69,0.5,102.77,3.433,83.31
Urban,IoT_Sensor,Disaster_Response,1,0,-68.53,1.928,24.67,1.3,7.3
Rural,User_Equipment,Smart_City,1,0,-82.27,5.556,35.21,2.243,5.59
Urban,IoT_Sensor,Agriculture,0,0,-72.98,0.5,10.51,0.631,7.54
Urban,User_Equipment,Telemedicine,1,1,-57.13,9.0,117.47,3.096,87.77
Rural,User_Equipment,Telemedicine,0,0,-95.68,4.939,29.32,2.925,2.69
Rural,User_Equipment,Disaster_Response,1,0,-63.31,0.853,17.63,2.204,2.33
Rural,IoT_Sensor,Agriculture,0,1,-79.72,7.358,111.36,1.653,122.34
Urban,IoT_Sensor,Disaster_Response,1,0,-62.88,1.802,8.94,0.985,6.32
Rural,IoT_Sensor,Agriculture,1,0,-79.27,8.017,11.75,1.969,7.38
Urban,UAV_Node,Agriculture,0,0,-68.57,0.5,8.91,4.579,8.7
Urban,User_Equipment,Agriculture,1,0,-61.39,1.108,14.71,2.369,6.69
Rural,UAV_Node,Telemedicine,0,0,-81.77,0.5,4.43,4.317,7.33
Rural,IoT_Sensor,Smart_City,1,0,-76.22,10.457,32.23,1.562,3.84
Mountain,User_Equipment,Disaster_Response,1,0,-88.55,16.713,32.41,2.233,0.1
Rural,UAV_Node,Smart_City,0,0,-85.99,0.5,18.53,3.886,6.7
Rural,IoT_Sensor,Disaster_Response,1,1,-79.76,13.068,94.3,1.601,62.21
Urban,IoT_Sensor,Agriculture,1,0,-64.97,3.904,1.79,1.242,5.21
Urban,User_Equipment,Telemedicine,0,0,-64.33,0.5,22.7,2.444,5.77
Urban,User_Equipment,Smart_City,0,0,-67.03,0.5,1.0,2.483,5.65
Urban,User_Equipment,Telemedicine,1,1,-78.7,24.17,99.31,2.759,77.95
Mountain,IoT_Sensor,Disaster_Response,1,0,-85.72,6.93,21.32,1.454,0.1
Urban,User_Equipment,Telemedicine,1,0,-63.03,0.5,39.87,1.992,6.09
Mountain,IoT_Sensor,Telemedicine,1,1,-89.09,19.066,124.11,1.466,97.11
Rural,IoT_Sensor,Smart_City,0,1,-86.94,12.079,101.06,1.356,103.83
Rural,IoT_Sensor,Agriculture,1,0,-73.38,3.535,32.64,1.664,4.08
Rural,User_Equipment,Telemedicine,0,1,-80.26,12.397,91.54,2.116,128.95
Rural,User_Equipment,Agriculture,0,0,-88.86,0.5,25.43,2.856,2.21
Rural,User_Equipment,Disaster_Response,0,0,-82.96,4.947,22.0,3.015,7.11
Urban,IoT_Sensor,Telemedicine,0,0,-74.86,0.5,22.64,1.419,2.61
Rural,UAV_Node,Smart_City,0,0,-91.9,14.546,27.72,3.51,5.57
Urban,IoT_Sensor,Disaster_Response,0,1,-73.13,11.529,107.32,1.622,163.04
Urban,User_Equipment,Disaster_Response,1,0,-59.69,0.5,22.89,2.291,6.11
Rural,IoT_Sensor,Smart_City,0,0,-80.23,0.5,3.45,1.207,4.93
Urban,IoT_Sensor,Telemedicine,0,1,-67.43,3.015,90.4,1.406,58.36
Mountain,IoT_Sensor,Telemedicine,0,1,-91.37,8.752,113.77,2.134,101.06
Mountain,IoT_Sensor,Disaster_Response,0,0,-92.42,5.982,35.93,1.819,0.1
Mountain,User_Equipment,Telemedicine,0,0,-98.21,9.231,23.7,2.407,0.1
Urban,User_Equipment,Agriculture,0,0,-67.84,0.5,44.12,2.031,5.0
Urban,IoT_Sensor,Smart_City,1,1,-60.0,2.93,115.16,1.26,66.22
Mountain,UAV_Node,Agriculture,1,0,-85.23,7.166,36.02,3.879,0.1
Urban,IoT_Sensor,Telemedicine,1,1,-58.06,0.5,100.72,1.459,60.49
Mountain,User_Equipment,Disaster_Response,0,0,-91.46,12.947,32.88,2.598,0.1
Mountain,UAV_Node,Smart_City,0,0,-93.24,0.5,20.48,4.163,0.1
Mountain,User_Equipment,Telemedicine,1,0,-83.65,13.891,35.77,3.158,0.1
Urban,IoT_Sensor,Telemedicine,0,0,-70.13,0.5,22.58,1.755,3.39
Urban,UAV_Node,Disaster_Response,0,0,-74.41,0.5,2.58,3.996,7.15
Mountain,User_Equipment,Disaster_Response,0,1,-95.82,16.86,118.34,2.782,122.87
Urban,IoT_Sensor,Agriculture,0,0,-73.72,0.5,18.45,1.403,2.61
Urban,IoT_Sensor,Smart_City,0,0,-73.38,0.5,1.0,1.864,3.08
Rural,User_Equipment,Smart_City,0,1,-85.72,12.702,91.4,2.566,99.38
Mountain,User_Equipment,Disaster_Response,0,0,-98.96,7.825,30.86,2.67,0.1
Rural,User_Equipment,Agriculture,0,1,-86.54,5.209,118.88,2.62,109.45
Rural,UAV_Node,Smart_City,1,0,-88.47,6.808,20.57,3.786,4.57
Urban,User_Equipment,Disaster_Response,1,0,-62.93,0.5,6.65,1.898,5.76
Rural,IoT_Sensor,Telemedicine,1,0,-78.99,22.242,24.86,1.842,6.38
Mountain,IoT_Sensor,Smart_City,1,0,-93.09,20.766,19.53,1.697,0.1
Urban,IoT_Sensor,Agriculture,1,1,-60.7,0.5,110.83,1.46,90.23
Rural,User_Equipment,Agriculture,0,0,-80.31,0.5,15.29,2.35,4.86
Mountain,IoT_Sensor,Agriculture,0,0,-103.04,13.928,34.06,2.145,0.1
Rural,User_Equipment,Telemedicine,0,0,-88.81,7.143,33.26,2.38,7.12
Rural,User_Equipment,Smart_City,1,0,-82.85,12.167,7.13,3.057,3.82
Rural,UAV_Node,Smart_City,1,1,-83.7,13.575,81.03,3.547,103.97
Urban,IoT_Sensor,Telemedicine,0,0,-65.85,0.5,14.16,1.64,4.64
Urban,User_Equipment,Smart_City,1,0,-64.97,2.124,30.38,2.485,3.17
Mountain,IoT_Sensor,Telemedicine,0,1,-96.32,13.591,99.81,1.533,80.38
Mountain,User_Equipment,Telemedicine,1,0,-99.02,6.413,6.68,2.556,0.1
Mountain,IoT_Sensor,Telemedicine,0,1,-91.82,9.762,110.49,2.079,79.65
Mountain,IoT_Sensor,Agriculture,0,0,-101.2,6.341,40.52,0.962,0.1
Rural,User_Equipment,Smart_City,0,0,-84.7,3.226,32.0,2.715,4.02
Rural,IoT_Sensor,Telemedicine,0,0,-83.61,16.733,15.37,1.087,7.15
Rural,IoT_Sensor,Smart_City,0,1,-78.2,5.936,95.89,1.329,62.96
Rural,User_Equipment,Agriculture,0,1,-91.54,9.204,111.54,3.173,115.67
Rural,User_Equipment,Telemedicine,1,0,-94.1,19.658,1.3,2.519,7.36
Rural,User_Equipment,Disaster_Response,0,0,-84.08,4.454,16.11,2.237,7.29
Mountain,User_Equipment,Agriculture,0,0,-86.0,5.099,36.9,2.543,0.1
Urban,User_Equipment,Disaster_Response,1,0,-57.81,0.5,24.49,2.93,6.53
Urban,IoT_Sensor,Smart_City,1,0,-62.95,9.759,14.9,0.946,4.89
Urban,IoT_Sensor,Smart_City,0,1,-72.46,0.5,100.34,1.195,116.04
Rural,IoT_Sensor,Agriculture,0,0,-80.96,2.85,1.0,2.006,5.34
Urban,UAV_Node,Smart_City,0,0,-74.87,0.5,8.42,4.567,6.89
Rural,User_Equipment,Disaster_Response,0,0,-82.62,4.087,24.54,2.551,6.0
Rural,IoT_Sensor,Telemedicine,1,0,-76.47,1.643,10.18,0.961,3.24
Urban,IoT_Sensor,Telemedicine,0,0,-64.7,0.5,20.59,2.139,6.48
Rural,UAV_Node,Telemedicine,0,0,-71.2,0.5,19.47,4.488,3.72
Urban,IoT_Sensor,Agriculture,1,1,-62.04,8.898,96.57,1.682,110.34
Urban,User_Equipment,Smart_City,0,0,-72.54,0.865,21.7,2.274,4.39
Mountain,User_Equipment,Disaster_Response,0,0,-95.13,1.335,25.37,2.512,0.1
Urban,User_Equipment,Smart_City,0,0,-78.85,0.5,17.93,2.462,6.53
Urban,IoT_Sensor,Smart_City,1,1,-67.47,3.189,106.1,1.463,104.1
Rural,UAV_Node,Smart_City,0,1,-87.05,2.231,96.57,4.48,115.32
Rural,UAV_Node,Telemedicine,1,0,-81.62,7.725,9.13,4.218,1.36
Urban,User_Equipment,Disaster_Response,0,1,-69.24,0.5,102.24,2.187,105.99
Rural,User_Equipment,Disaster_Response,0,0,-89.11,16.69,27.15,3.247,5.74
Urban,UAV_Node,Smart_City,1,0,-58.39,0.5,1.0,3.904,6.17
Urban,User_Equipment,Telemedicine,1,0,-64.0,0.5,31.59,2.516,4.8
Rural,IoT_Sensor,Telemedicine,1,0,-79.05,4.699,16.64,1.834,4.89
Rural,User_Equipment,Disaster_Response,1,0,-80.64,13.427,24.25,2.235,5.82
Rural,User_Equipment,Telemedicine,1,1,-78.22,22.554,111.97,2.74,107.87
Rural,IoT_Sensor,Telemedicine,0,1,-80.87,0.5,86.28,1.351,85.24
Mountain,User_Equipment,Telemedicine,0,0,-99.34,0.5,27.91,2.04,0.1
Rural,UAV_Node,Agriculture,1,0,-82.29,18.5,12.11,4.274,6.75
Urban,UAV_Node,Smart_City,0,0,-71.52,0.5,7.16,4.763,3.07
Rural,IoT_Sensor,Disaster_Response,1,0,-85.73,6.523,37.35,0.878,4.84
Urban,IoT_Sensor,Disaster_Response,1,0,-68.1,4.721,11.43,1.385,4.4
Urban,UAV_Node,Agriculture,0,0,-72.38,0.5,9.44,4.202,2.99
Urban,User_Equipment,Smart_City,0,0,-65.63,0.5,22.04,2.547,5.72
Urban,IoT_Sensor,Disaster_Response,1,1,-62.69,5.983,87.98,1.386,119.24
Mountain,UAV_Node,Telemedicine,0,0,-94.03,11.637,26.04,3.843,0.1
